Akt1,11651,mmu-miR-21a-5p,MIMAT0000530,transmir,Experimental,High
Creb1,12912,Rdh16,19683,tred,Experimental,High
Creb1,12912,Scg2,20254,ucsc,tred,Experimental,High
Creb1,12912,Sfrp4,20379,tred,Experimental,High
Creb1,12912,Sftpb,20388,tred,Experimental,High
Creb1,12912,Slc1a3,20512,tred,Experimental,High
Creb1,12912,Slc20a1,20515,tred,Experimental,High
Creb1,12912,Stat3,20848,tred,Experimental,High
Creb1,12912,Tcra,21473,tred,Experimental,High
Creb1,12912,Tgfb2,21808,tred,Experimental,High
Creb1,12912,Tgm1,21816,tred,Experimental,High
Creb1,12912,Th,21823,tred,Experimental,High
Creb1,12912,Thbs1,21825,tred,Experimental,High
Creb1,12912,Rarb,218772,tred,Experimental,High
Creb1,12912,Tnfrsf8,21941,tred,Experimental,High
Creb1,12912,Trf,22041,tred,Experimental,High
Creb1,12912,Wisp1,22402,ucsc,tred,Experimental,High
Creb1,12912,Yy1,22632,tred,Experimental,High
Creb1,12912,Mapk1,26413,tred,Kegg,Experimental,High
Creb1,12912,Gyg,27357,tred,Experimental,High
Creb1,12912,Clic4,29876,tred,string,Experimental,High
Creb1,12912,Slc29a1,63959,tred,Experimental,High
Creb1,12912,Osgep,66246,tred,Experimental,High
Creb1,12912,Nrn1,68404,tred,Experimental,High
Creb1,12912,Myh10,77579,tred,Experimental,High
Creb3,12913,Npy,109648,kegg,Experimental,High
Creb3,12913,Fosb,14282,kegg,Experimental,High
Creb3,12913,Mcl1,17210,kegg,Experimental,High
Creb3,12913,Pdyn,18610,kegg,Experimental,High
Creb3,12913,Pcna,18538,kegg,Experimental,High
Creb3,12913,Mitf,17342,kegg,Experimental,High
Creb3,12913,Fos,14281,kegg,Experimental,High
Creb3,12913,Crh,12918,kegg,Experimental,High
Creb3,12913,Bdnf,12064,kegg,Experimental,High
Creb3,12913,Bcl2,12043,kegg,Experimental,High
Creb3,12913,Arc,11838,kegg,Experimental,High
Creb3,12913,Aqp2,11827,kegg,Experimental,High
Creb3l1,26427,Mitf,17342,kegg,Experimental,High
Creb3l1,26427,Pcna,18538,kegg,Experimental,High
Creb3l1,26427,Pdyn,18610,kegg,Experimental,High
Creb3l1,26427,Npy,109648,kegg,Experimental,High
Creb3l1,26427,Aqp2,11827,kegg,Experimental,High
Creb3l1,26427,Arc,11838,kegg,Experimental,High
Creb3l1,26427,Bcl2,12043,kegg,Experimental,High
Creb3l1,26427,Bdnf,12064,kegg,Experimental,High
Creb3l1,26427,Crh,12918,kegg,Experimental,High
Creb3l1,26427,Fos,14281,kegg,Experimental,High
Creb3l1,26427,Fosb,14282,kegg,Experimental,High
Creb3l1,26427,Mcl1,17210,kegg,Experimental,High
Creb3l2,208647,Pdyn,18610,kegg,Experimental,High
Creb3l2,208647,Fosb,14282,kegg,Experimental,High
Creb3l2,208647,Fos,14281,kegg,Experimental,High
Creb3l2,208647,Pcna,18538,kegg,Experimental,High
Creb3l2,208647,Crh,12918,kegg,Experimental,High
Creb3l2,208647,Bdnf,12064,kegg,Experimental,High
Creb3l2,208647,Bcl2,12043,kegg,Experimental,High
